NAME                         CPU(cores)   MEMORY(bytes)   
frontend-6798c74b8c-m2ddg    14m          3Mi             
gateway-7b76d459b9-6spnt     92m          34Mi            
gateway-7b76d459b9-92tht     96m          30Mi            
gateway-7b76d459b9-rhsb6     82m          40Mi            
gateway-7b76d459b9-v6tnz     109m         29Mi            
inventory-7c5c586469-h59hh   112m         30Mi            
inventory-7c5c586469-k54j5   92m          31Mi            
order-556547d684-5cw6s       165m         34Mi            
order-556547d684-m6gfl       79m          32Mi            
order-556547d684-mkx72       107m         37Mi            
order-556547d684-p7jkh       6m           15Mi            
order-556547d684-zcbhh       80m          32Mi            
payment-84d4c68676-bwxlv     23m          16Mi            
payment-84d4c68676-fbv9g     109m         40Mi            
payment-84d4c68676-k9bk8     113m         39Mi            
payment-84d4c68676-kjxzw     106m         35Mi            
product-7f7cb5797d-4gnkq     47m          32Mi            
product-7f7cb5797d-x9pq8     53m          31Mi            
user-cf9f7646c-xfgl5         3m           28Mi            
