NAME                         READY   STATUS             RESTARTS        AGE     IP            NODE          NOMINATED NODE   READINESS GATES
frontend-6798c74b8c-m2ddg    1/1     Running            0               167m    10.244.2.11   k8s-worker2   <none>           <none>
gateway-7b76d459b9-6spnt     1/1     Running            0               69m     10.244.1.53   k8s-worker1   <none>           <none>
gateway-7b76d459b9-92tht     1/1     Running            0               9m30s   10.244.1.80   k8s-worker1   <none>           <none>
gateway-7b76d459b9-dx5zq     1/1     Running            0               6m15s   10.244.1.84   k8s-worker1   <none>           <none>
gateway-7b76d459b9-hbwb6     1/1     Running            0               90s     10.244.1.93   k8s-worker1   <none>           <none>
gateway-7b76d459b9-pl28d     1/1     Running            0               5m45s   10.244.1.86   k8s-worker1   <none>           <none>
gateway-7b76d459b9-qplgl     1/1     Running            0               6m45s   10.244.1.83   k8s-worker1   <none>           <none>
gateway-7b76d459b9-rhsb6     1/1     Running            0               167m    10.244.1.10   k8s-worker1   <none>           <none>
gateway-7b76d459b9-s7r7h     1/1     Running            0               5m15s   10.244.1.89   k8s-worker1   <none>           <none>
gateway-7b76d459b9-v5ck6     1/1     Running            0               4m45s   10.244.1.90   k8s-worker1   <none>           <none>
gateway-7b76d459b9-v6tnz     1/1     Running            0               8m15s   10.244.1.81   k8s-worker1   <none>           <none>
inventory-7c5c586469-cs555   1/1     Running            4 (3m33s ago)   6m45s   10.244.1.82   k8s-worker1   <none>           <none>
inventory-7c5c586469-h59hh   0/1     CrashLoopBackOff   5 (17s ago)     113m    10.244.2.35   k8s-worker2   <none>           <none>
inventory-7c5c586469-m7f8s   0/1     CrashLoopBackOff   4 (33s ago)     5m15s   10.244.1.88   k8s-worker1   <none>           <none>
inventory-7c5c586469-p8l8f   0/1     Pending            0               60s     <none>        <none>        <none>           <none>
inventory-7c5c586469-rrrlv   1/1     Running            5 (106s ago)    6m      10.244.1.85   k8s-worker1   <none>           <none>
inventory-7c5c586469-zqvm9   0/1     Pending            0               60s     <none>        <none>        <none>           <none>
order-556547d684-5cw6s       0/1     Running            8 (33s ago)     64m     10.244.2.61   k8s-worker2   <none>           <none>
order-556547d684-7dddm       0/1     CrashLoopBackOff   5 (16s ago)     5m45s   10.244.2.76   k8s-worker2   <none>           <none>
order-556547d684-9q9xj       1/1     Running            5 (2m ago)      6m30s   10.244.2.74   k8s-worker2   <none>           <none>
order-556547d684-btvvm       1/1     Running            3 (2m43s ago)   4m45s   10.244.2.79   k8s-worker2   <none>           <none>
order-556547d684-m6gfl       1/1     Running            0               9m15s   10.244.2.70   k8s-worker2   <none>           <none>
order-556547d684-mkx72       0/1     CrashLoopBackOff   3 (40s ago)     58m     10.244.2.66   k8s-worker2   <none>           <none>
order-556547d684-p7jkh       0/1     CrashLoopBackOff   5 (39s ago)     7m      10.244.2.72   k8s-worker2   <none>           <none>
order-556547d684-smgkl       0/1     Pending            0               74s     <none>        <none>        <none>           <none>
order-556547d684-v5fsl       0/1     Error              4 (2m ago)      5m30s   10.244.2.78   k8s-worker2   <none>           <none>
order-556547d684-zcbhh       0/1     CrashLoopBackOff   5 (19s ago)     9m45s   10.244.2.68   k8s-worker2   <none>           <none>
payment-84d4c68676-79qq4     0/1     CrashLoopBackOff   4 (68s ago)     6m      10.244.2.75   k8s-worker2   <none>           <none>
payment-84d4c68676-bm2nz     0/1     CrashLoopBackOff   4 (40s ago)     5m30s   10.244.2.77   k8s-worker2   <none>           <none>
payment-84d4c68676-bwxlv     0/1     CrashLoopBackOff   4 (68s ago)     7m      10.244.2.71   k8s-worker2   <none>           <none>
payment-84d4c68676-df5gz     0/1     Error              1 (37s ago)     105s    10.244.1.92   k8s-worker1   <none>           <none>
payment-84d4c68676-fbv9g     1/1     Running            4 (3m3s ago)    60m     10.244.1.71   k8s-worker1   <none>           <none>
payment-84d4c68676-hltrh     1/1     Running            1 (37s ago)     105s    10.244.2.80   k8s-worker2   <none>           <none>
payment-84d4c68676-jdfrk     1/1     Running            4 (3m31s ago)   6m30s   10.244.2.73   k8s-worker2   <none>           <none>
payment-84d4c68676-k9bk8     0/1     Running            10 (89s ago)    65m     10.244.2.60   k8s-worker2   <none>           <none>
payment-84d4c68676-kjxzw     0/1     CrashLoopBackOff   5 (35s ago)     9m30s   10.244.2.69   k8s-worker2   <none>           <none>
product-7f7cb5797d-4gnkq     1/1     Running            0               127m    10.244.1.13   k8s-worker1   <none>           <none>
product-7f7cb5797d-8l85p     1/1     Running            0               5m30s   10.244.1.87   k8s-worker1   <none>           <none>
product-7f7cb5797d-x9pq8     1/1     Running            0               71m     10.244.1.51   k8s-worker1   <none>           <none>
user-cf9f7646c-xfgl5         1/1     Running            0               167m    10.244.2.14   k8s-worker2   <none>           <none>
