LAST SEEN   TYPE      REASON                         OBJECT                                  MESSAGE
11m         Normal    Scheduled                      pod/order-556547d684-zcbhh              Successfully assigned shoply/order-556547d684-zcbhh to k8s-worker2
8m57s       Normal    Scheduled                      pod/gateway-7b76d459b9-qplgl            Successfully assigned shoply/gateway-7b76d459b9-qplgl to k8s-worker1
6m57s       Normal    Scheduled                      pod/order-556547d684-btvvm              Successfully assigned shoply/order-556547d684-btvvm to k8s-worker2
3m12s       Warning   FailedScheduling               pod/inventory-7c5c586469-p8l8f          0/4 nodes are available: 2 Insufficient cpu, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 2 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
60m         Normal    Scheduled                      pod/inventory-7c5c586469-k54j5          Successfully assigned shoply/inventory-7c5c586469-k54j5 to k8s-worker1
2m11s       Warning   FailedScheduling               pod/inventory-7c5c586469-p8l8f          0/4 nodes are available: 2 Insufficient cpu, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 2 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
11m         Normal    Scheduled                      pod/gateway-7b76d459b9-92tht            Successfully assigned shoply/gateway-7b76d459b9-92tht to k8s-worker1
8m57s       Normal    Scheduled                      pod/inventory-7c5c586469-cs555          Successfully assigned shoply/inventory-7c5c586469-cs555 to k8s-worker1
58m         Warning   FailedScheduling               pod/product-7f7cb5797d-pfwrn            0/4 nodes are available: 2 Insufficient cpu, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 2 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
86s         Warning   FailedScheduling               pod/gateway-7b76d459b9-9v8qj            0/4 nodes are available: 2 Insufficient cpu, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 2 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
86s         Normal    Scheduled                      pod/gateway-7b76d459b9-cgbwd            Successfully assigned shoply/gateway-7b76d459b9-cgbwd to k8s-worker1
