NAME                         READY   STATUS              RESTARTS      AGE     IP            NODE          NOMINATED NODE   READINESS GATES
frontend-9dcd685f9-hbrfw     1/1     Running             3 (83m ago)   111m    10.244.2.19   k8s-worker2   <none>           <none>
gateway-67ddf64db9-7wghc     1/1     Running             0             107s    10.244.1.28   k8s-worker1   <none>           <none>
gateway-67ddf64db9-88g4b     1/1     Running             0             3m2s    10.244.1.22   k8s-worker1   <none>           <none>
gateway-67ddf64db9-djdn4     1/1     Running             0             2m47s   10.244.1.24   k8s-worker1   <none>           <none>
gateway-67ddf64db9-hcgz9     1/1     Running             0             107s    10.244.1.27   k8s-worker1   <none>           <none>
gateway-67ddf64db9-hphmp     1/1     Running             1 (85m ago)   111m    10.244.1.16   k8s-worker1   <none>           <none>
gateway-67ddf64db9-hv72g     1/1     Running             0             5m47s   10.244.1.21   k8s-worker1   <none>           <none>
gateway-67ddf64db9-q62l2     1/1     Running             0             47s     10.244.1.31   k8s-worker1   <none>           <none>
gateway-67ddf64db9-vwb9l     1/1     Running             1 (85m ago)   110m    10.244.1.14   k8s-worker1   <none>           <none>
gateway-67ddf64db9-wp4gv     1/1     Running             0             47s     10.244.1.30   k8s-worker1   <none>           <none>
inventory-54b7486945-25hc8   0/1     CrashLoopBackOff    2 (15s ago)   2m2s    10.244.1.25   k8s-worker1   <none>           <none>
inventory-54b7486945-4sgww   0/1     Running             2 (32s ago)   107s    10.244.1.26   k8s-worker1   <none>           <none>
inventory-54b7486945-6kffz   0/1     Running             2 (32s ago)   2m47s   10.244.1.23   k8s-worker1   <none>           <none>
inventory-54b7486945-ktbmc   1/1     Running             1 (85m ago)   110m    10.244.1.17   k8s-worker1   <none>           <none>
inventory-54b7486945-nf5ql   1/1     Running             1 (85m ago)   111m    10.244.1.19   k8s-worker1   <none>           <none>
order-6976c69cdd-cqtdc       0/1     Error               2 (49s ago)   107s    10.244.2.33   k8s-worker2   <none>           <none>
order-6976c69cdd-dmbjb       1/1     Running             1 (84m ago)   110m    10.244.2.18   k8s-worker2   <none>           <none>
order-6976c69cdd-dnt5f       1/1     Running             2 (42s ago)   5m47s   10.244.2.26   k8s-worker2   <none>           <none>
order-6976c69cdd-f6xcw       1/1     Running             1 (84m ago)   111m    10.244.2.22   k8s-worker2   <none>           <none>
order-6976c69cdd-pvkc7       0/1     Error               2 (51s ago)   107s    10.244.2.34   k8s-worker2   <none>           <none>
order-6976c69cdd-sdl99       1/1     Running             0             2m47s   10.244.2.29   k8s-worker2   <none>           <none>
order-6976c69cdd-smkdm       0/1     CrashLoopBackOff    2 (14s ago)   5m17s   10.244.2.27   k8s-worker2   <none>           <none>
order-6976c69cdd-zmclx       1/1     Running             0             2m47s   10.244.2.30   k8s-worker2   <none>           <none>
payment-7f446f7f68-4r85q     1/1     Running             0             77s     10.244.2.35   k8s-worker2   <none>           <none>
payment-7f446f7f68-55452     0/1     CrashLoopBackOff    3 (6s ago)    110m    10.244.2.20   k8s-worker2   <none>           <none>
payment-7f446f7f68-6mlng     0/1     Error               1 (96s ago)   2m2s    10.244.2.32   k8s-worker2   <none>           <none>
payment-7f446f7f68-8t46k     1/1     Running             2 (79s ago)   2m32s   10.244.2.31   k8s-worker2   <none>           <none>
payment-7f446f7f68-cpzqc     0/1     ContainerCreating   0             2s      <none>        k8s-worker1   <none>           <none>
payment-7f446f7f68-fjrnl     1/1     Running             0             5m47s   10.244.2.25   k8s-worker2   <none>           <none>
payment-7f446f7f68-k2ws6     0/1     Error               1 (27s ago)   3m2s    10.244.2.28   k8s-worker2   <none>           <none>
payment-7f446f7f68-kwzfm     1/1     Running             3 (80s ago)   111m    10.244.2.23   k8s-worker2   <none>           <none>
payment-7f446f7f68-lgmjq     0/1     ContainerCreating   0             2s      <none>        k8s-worker1   <none>           <none>
product-79f7fc54b6-fmwn8     1/1     Running             1 (85m ago)   111m    10.244.1.15   k8s-worker1   <none>           <none>
product-79f7fc54b6-wr8sw     1/1     Running             1 (85m ago)   110m    10.244.1.18   k8s-worker1   <none>           <none>
user-64dcb65d99-qwlqs        1/1     Running             1 (84m ago)   111m    10.244.2.21   k8s-worker2   <none>           <none>
