LAST SEEN   TYPE      REASON                         OBJECT                                  MESSAGE
60m         Normal    Pulled                         pod/order-59bbb567bf-hzrb8              Successfully pulled image "ghcr.io/incheon-soda/shoply-order:latest" in 739ms (739ms including waiting). Image size: 69825511 bytes.
60m         Normal    Pulled                         pod/payment-bcd66f5fc-v9xrc             Successfully pulled image "ghcr.io/incheon-soda/shoply-payment:latest" in 727ms (727ms including waiting). Image size: 62780980 bytes.
60m         Normal    Pulled                         pod/payment-bcd66f5fc-zszk5             Successfully pulled image "ghcr.io/incheon-soda/shoply-payment:latest" in 738ms (738ms including waiting). Image size: 62780980 bytes.
60m         Normal    Created                        pod/payment-bcd66f5fc-6pdql             Created container: payment
60m         Normal    Pulled                         pod/payment-bcd66f5fc-6pdql             Successfully pulled image "ghcr.io/incheon-soda/shoply-payment:latest" in 826ms (826ms including waiting). Image size: 62780980 bytes.
60m         Normal    Started                        pod/payment-bcd66f5fc-6pdql             Started container payment
59m         Warning   Unhealthy                      pod/inventory-7b9846b88-hr8bs           Readiness probe failed: Get "http://10.244.1.12:4002/health": dial tcp 10.244.1.12:4002: connect: connection refused
59m         Normal    Pulling                        pod/order-59bbb567bf-dgjjl              Pulling image "ghcr.io/incheon-soda/shoply-order:latest"
59m         Normal    Pulled                         pod/order-59bbb567bf-dgjjl              Successfully pulled image "ghcr.io/incheon-soda/shoply-order:latest" in 773ms (773ms including waiting). Image size: 69825511 bytes.
59m         Normal    Started                        pod/order-59bbb567bf-dgjjl              Started container order
59m         Normal    Created                        pod/order-59bbb567bf-dgjjl              Created container: order
59m         Warning   Unhealthy                      pod/payment-bcd66f5fc-6pdql             Liveness probe failed: Get "http://10.244.1.21:4004/livez": dial tcp 10.244.1.21:4004: connect: connection refused
59m         Normal    Created                        pod/payment-bcd66f5fc-fw2fg             Created container: payment
59m         Normal    Pulled                         pod/payment-bcd66f5fc-fw2fg             Successfully pulled image "ghcr.io/incheon-soda/shoply-payment:latest" in 752ms (752ms including waiting). Image size: 62780980 bytes.
59m         Normal    Started                        pod/payment-bcd66f5fc-fw2fg             Started container payment
59m         Normal    Pulled                         pod/payment-bcd66f5fc-8jkqf             Successfully pulled image "ghcr.io/incheon-soda/shoply-payment:latest" in 705ms (705ms including waiting). Image size: 62780980 bytes.
59m         Warning   BackOff                        pod/order-59bbb567bf-trrv4              Back-off restarting failed container order in pod order-59bbb567bf-trrv4_shoply(fe5cd982-c5ec-439e-b7d5-7270a8f6984b)
59m         Normal    Pulled                         pod/order-59bbb567bf-hzrb8              Successfully pulled image "ghcr.io/incheon-soda/shoply-order:latest" in 3.802s (3.803s including waiting). Image size: 69825511 bytes.
59m         Normal    Started                        pod/order-59bbb567bf-trrv4              Started container order
59m         Normal    Created                        pod/order-59bbb567bf-trrv4              Created container: order
59m         Normal    Pulling                        pod/order-59bbb567bf-trrv4              Pulling image "ghcr.io/incheon-soda/shoply-order:latest"
59m         Normal    Pulled                         pod/order-59bbb567bf-trrv4              Successfully pulled image "ghcr.io/incheon-soda/shoply-order:latest" in 729ms (729ms including waiting). Image size: 69825511 bytes.
58m         Normal    Pulled                         pod/inventory-7b9846b88-pbqlw           Successfully pulled image "ghcr.io/incheon-soda/shoply-inventory:latest" in 752ms (752ms including waiting). Image size: 63283423 bytes.
58m         Warning   Unhealthy                      pod/inventory-7b9846b88-pbqlw           Readiness probe failed: HTTP probe failed with statuscode: 503
58m         Normal    Pulled                         pod/payment-bcd66f5fc-2nbf9             Successfully pulled image "ghcr.io/incheon-soda/shoply-payment:latest" in 757ms (757ms including waiting). Image size: 62780980 bytes.
58m         Normal    Pulled                         pod/payment-bcd66f5fc-v9xrc             Successfully pulled image "ghcr.io/incheon-soda/shoply-payment:latest" in 827ms (827ms including waiting). Image size: 62780980 bytes.
58m         Normal    Started                        pod/payment-bcd66f5fc-v9xrc             Started container payment
58m         Normal    Pulled                         pod/order-59bbb567bf-hzrb8              Successfully pulled image "ghcr.io/incheon-soda/shoply-order:latest" in 840ms (840ms including waiting). Image size: 69825511 bytes.
57m         Normal    Pulled                         pod/payment-bcd66f5fc-8jkqf             Successfully pulled image "ghcr.io/incheon-soda/shoply-payment:latest" in 741ms (741ms including waiting). Image size: 62780980 bytes.
57m         Normal    Started                        pod/payment-bcd66f5fc-8jkqf             Started container payment
57m         Normal    Pulled                         pod/order-59bbb567bf-swcvm              Successfully pulled image "ghcr.io/incheon-soda/shoply-order:latest" in 796ms (796ms including waiting). Image size: 69825511 bytes.
57m         Warning   BackOff                        pod/payment-bcd66f5fc-v9xrc             Back-off restarting failed container payment in pod payment-bcd66f5fc-v9xrc_shoply(e11c7eb0-5ec8-40b0-a13f-bc53931d1c77)
57m         Normal    Pulled                         pod/payment-bcd66f5fc-pdcpj             Successfully pulled image "ghcr.io/incheon-soda/shoply-payment:latest" in 748ms (748ms including waiting). Image size: 62780980 bytes.
57m         Normal    Pulled                         pod/payment-bcd66f5fc-cql8p             Successfully pulled image "ghcr.io/incheon-soda/shoply-payment:latest" in 749ms (749ms including waiting). Image size: 62780980 bytes.
57m         Warning   Unhealthy                      pod/payment-bcd66f5fc-8jkqf             Liveness probe failed: Get "http://10.244.2.11:4004/livez": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
56m         Normal    Pulled                         pod/inventory-7b9846b88-hr8bs           Successfully pulled image "ghcr.io/incheon-soda/shoply-inventory:latest" in 760ms (760ms including waiting). Image size: 63283423 bytes.
56m         Normal    Started                        pod/inventory-7b9846b88-pbqlw           Started container inventory
56m         Normal    Pulled                         pod/inventory-7b9846b88-pbqlw           Successfully pulled image "ghcr.io/incheon-soda/shoply-inventory:latest" in 724ms (724ms including waiting). Image size: 63283423 bytes.
56m         Normal    Pulled                         pod/payment-bcd66f5fc-6pdql             Successfully pulled image "ghcr.io/incheon-soda/shoply-payment:latest" in 774ms (774ms including waiting). Image size: 62780980 bytes.
56m         Normal    Pulled                         pod/payment-bcd66f5fc-2nbf9             Successfully pulled image "ghcr.io/incheon-soda/shoply-payment:latest" in 770ms (770ms including waiting). Image size: 62780980 bytes.
